Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
87,Serbia,Central and Eastern Europe,5.123,5.44558,0.72003,66,"0,30022","0,24163","0,95258",2015
88,Portugal,Western Europe,5.102,6.86169,0.81253,70,"0,76850","0,17238","0,98047",2015
89,Latvia,Central and Eastern Europe,5.098,6.58489,0.78134,65,"0,44303","0,22900","0,88527",2015
90,Philippines,Southeast Asia,5.073,4.17249,0.73822,60,"0,93388","0,31400","0,77753",2015
92,Morocco,Middle East and North Africa,5.013,4.34681,0.45709,61,"0,62251","0,09011","0,84516",2015
95,Albania,Central and Eastern Europe,4.959,5.19798,0.57361,68,"0,53354","0,17933","0,88381",2015
96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,4.92324,0.65549,67,"0,13804","0,31171","0,99589",2015
98,Dominican Republic,Latin America and Caribbean,4.885,5.29675,0.83583,63,"0,86112","0,27245","0,74209",2015
100,Mongolia,East Asia,4.874,4.8993,0.92752,60,"0,65140","0,41752","0,95170",2015
102,Greece,Western Europe,4.857,6.82708,0.66275,71,"0,11495","0,00000","0,97469",2015
103,Lebanon,Middle East and North Africa,4.839,6.06739,0.57053,69,"0,50641","0,27459","0,91698",2015
104,Hungary,Central and Eastern Europe,4.8,6.63118,0.85731,66,"0,47948","0,16083","0,95003",2015
105,Honduras,Latin America and Caribbean,4.788,3.52173,0.67998,64,"0,59947","0,28933","0,87634",2015
107,Tunisia,Middle East and North Africa,4.739,5.21253,0.43095,65,"0,39222","0,08081","0,88480",2015
109,Bangladesh,South Asia,4.694,2.35166,0.30741,60,"0,60950","0,26664","0,77226",2015
110,Iran,Middle East and North Africa,4.686,5.96774,0.38829,64,"0,44843","0,47853","0,89378",2015
111,Ukraine,Commonwealth of Independent States,4.681,4.72705,0.85776,63,"0,37512","0,19192","0,94635",2015
112,Iraq,Middle East and North Africa,4.677,5.8299,0.58399,60,"0,00000","0,22518","0,75018",2015
113,South Africa,Sub-Saharan Africa,4.642,5.44536,0.84486,49,"0,49582","0,15044","0,83903",2015
114,Ghana,Sub-Saharan Africa,4.633,3.22748,0.48461,53,"0,63222","0,29008","0,92109",2015
115,Zimbabwe,Sub-Saharan Africa,4.61,1.60314,0.73651,51,"0,38614","0,23857","0,85361",2015
116,Liberia,Sub-Saharan Africa,4.571,0.4212,0.56316,51,"0,42600","0,30610","0,88708",2015
117,India,South Asia,4.565,3.81558,0.27223,57,"0,59406","0,33265","0,84614",2015
121,Nepal,South Asia,4.514,2.12947,0.61651,59,"0,57161","0,40578","0,89298",2015
122,Ethiopia,Sub-Saharan Africa,4.512,1.12829,0.43078,55,"0,64877","0,30563","0,72736",2015
123,Sierra Leone,Sub-Saharan Africa,4.507,1.9536,0.68156,39,"0,60980","0,26999","0,84081",2015
124,Mauritania,Sub-Saharan Africa,4.436,2.68612,0.61978,52,"0,36182","0,27516","0,68362",2015
125,Kenya,Sub-Saharan Africa,4.419,2.15751,0.71227,54,"0,63033","0,47171","0,89421",2015
127,Armenia,Commonwealth of Independent States,4.35,4.54452,0.5542,65,"0,29635","0,09870","0,92933",2015
128,Botswana,Sub-Saharan Africa,4.332,5.87752,0.78777,40,"0,73903","0,13143","0,77398",2015
129,Myanmar,Southeast Asia,4.307,1.6036,0.50566,56,"0,65723","1,00000","0,65513",2015
130,Georgia,Commonwealth of Independent States,4.297,4.38886,0.275,65,"0,60588","0,06969","0,30549",2015
131,Malawi,Sub-Saharan Africa,4.292,0.09487,0.29335,47,"0,64285","0,41624","0,87359",2015
132,Sri Lanka,South Asia,4.271,4.94102,0.72674,64,"0,80220","0,51298","0,83370",2015
133,Cameroon,Sub-Saharan Africa,4.252,2.49938,0.63304,47,"0,73625","0,25906","0,89517",2015
134,Bulgaria,Central and Eastern Europe,4.218,5.98762,0.78884,66,"0,45671","0,14978","0,98420",2015
135,Egypt,Middle East and North Africa,4.194,5.21644,0.53272,61,"0,25813","0,14186","0,88541",2015
138,Mali,Sub-Saharan Africa,3.995,1.54249,0.7383,46,"0,58019","0,23619","0,77620",2015
141,Uganda,Sub-Saharan Africa,3.931,1.24835,0.80799,51,"0,68277","0,36521","0,86834",2015
142,Senegal,Sub-Saharan Africa,3.904,2.15909,0.69617,54,"0,54905","0,26188","0,80589",2015
143,Gabon,Sub-Saharan Africa,3.896,6.27204,0.6456,54,"0,47653","0,08571","0,79905",2015
144,Niger,Sub-Saharan Africa,3.845,0.41055,0.55101,49,"0,71210","0,24359","0,71664",2015
145,Cambodia,Southeast Asia,3.819,2.72347,0.4474,61,"0,98914","0,50710","0,86869",2015
146,Tanzania,Sub-Saharan Africa,3.781,1.68716,0.71506,53,"0,49091","0,43194","0,89588",2015
147,Madagascar,Sub-Saharan Africa,3.681,1.23192,0.47639,56,"0,28644","0,26805","0,85280",2015
149,Chad,Sub-Saharan Africa,3.667,2.02275,0.54243,44,"0,35090","0,23102","0,90454",2015
150,Guinea,Sub-Saharan Africa,3.656,1.03032,0.33144,47,"0,56329","0,36006","0,78006",2015
151,Ivory Coast,Sub-Saharan Africa,3.655,2.75284,0.54994,44,"0,69977","0,25337","0,67528",2015
152,Burkina Faso,Sub-Saharan Africa,3.587,1.52693,0.60752,49,"0,58968","0,27324","0,76750",2015
153,Afghanistan,South Asia,3.575,1.89197,0.21598,50,"0,34960","0,45874","0,82391",2015
155,Benin,Sub-Saharan Africa,3.34,1.69577,0.25236,50,"0,72342","0,22943","0,85487",2015
158,Togo,Sub-Saharan Africa,2.839,1.23446,0.0998,49,"0,54429","0,20959","0,80556",2015
111,Sierra Leone,Sub-Saharan Africa,4.635,9.44368,0.53074,44,"0,50429","0,29153","0,16223",2016
144,Chad,Sub-Saharan Africa,3.763,9.42133,0.53393,46,"0,21048","0,22772","0,09803",2016
139,Ivory Coast,Sub-Saharan Africa,3.916,9.97862,0.48659,46,"0,66827","0,24811","0,30739",2016
103,Nigeria,Sub-Saharan Africa,4.875,9.70016,0.54509,46,"0,45776","0,28325","0,06037",2016
114,Cameroon,Sub-Saharan Africa,4.513,9.62138,0.52856,49,"0,70234","0,27668","0,12126",2016
131,Zimbabwe,Sub-Saharan Africa,4.193,9.51646,0.60408,51,"0,41791","0,22573","0,16986",2016
135,Mali,Sub-Saharan Africa,4.073,9.73172,0.72962,51,"0,45267","0,25697","0,27012",2016
154,Afghanistan,South Asia,3.36,9.63815,0.09327,51,"0,27002","0,38145","0,14077",2016
116,South Africa,Sub-Saharan Africa,4.459,9.95684,0.81177,52,"0,69817","0,16660","0,16657",2016
151,Guinea,Sub-Saharan Africa,3.607,8.49819,0.26275,52,"0,50869","0,36493","0,23595",2016
146,Uganda,Sub-Saharan Africa,3.739,9.8876,0.7689,52,"0,71741","0,33063","0,12751",2016
153,Benin,Sub-Saharan Africa,3.484,9.21448,0.08805,53,"0,65321","0,24619","0,13223",2016
145,Burkina Faso,Sub-Saharan Africa,3.739,9.68359,0.53288,53,"0,54841","0,29709","0,24807",2016
150,Liberia,Sub-Saharan Africa,3.622,7.64019,0.42554,54,"0,42316","0,29355","0,09604",2016
106,Zambia,Sub-Saharan Africa,4.795,9.96247,0.53885,54,"0,70112","0,21795","0,22721",2016
155,Togo,Sub-Saharan Africa,3.303,9.51589,0.0,54,"0,56991","0,21369","0,22935",2016
142,Niger,Sub-Saharan Africa,3.856,5.01702,0.51155,55,"0,62517","0,25582","0,33999",2016
130,Mauritania,Sub-Saharan Africa,4.201,9.67499,0.7111,56,"0,20839","0,27676","0,35540",2016
132,Malawi,Sub-Saharan Africa,4.156,7.72189,0.12423,56,"0,68088","0,37779","0,14971",2016
124,Ghana,Sub-Saharan Africa,4.276,9.28626,0.41709,56,"0,67337","0,25867","0,06453",2016
122,Kenya,Sub-Saharan Africa,4.356,9.94645,0.64432,56,"0,66683","0,50418","0,13234",2016
115,Ethiopia,Sub-Saharan Africa,4.508,9.21583,0.32057,58,"0,60319","0,36015","0,33986",2016
137,Botswana,Sub-Saharan Africa,3.974,9.97103,0.75374,58,"0,72458","0,15158","0,21317",2016
134,Gabon,Sub-Saharan Africa,4.121,9.93276,0.6116,58,"0,46176","0,07617","0,18436",2016
149,Tanzania,Sub-Saharan Africa,3.666,9.57975,0.65601,59,"0,52196","0,38394","0,10093",2016
148,Madagascar,Sub-Saharan Africa,3.695,9.92691,0.38973,59,"0,22488","0,26887","0,14857",2016
119,Myanmar,Southeast Asia,4.395,9.78674,0.59143,60,"0,70161","1,00000","0,40069",2016
92,Pakistan,South Asia,5.132,9.93634,0.22088,60,"0,24030","0,38043","0,27475",2016
128,Senegal,Sub-Saharan Africa,4.219,9.91461,0.65426,61,"0,51038","0,23305","0,23121",2016
140,Cambodia,Southeast Asia,3.907,9.90401,0.45425,61,"0,96719","0,49211","0,16018",2016
118,India,South Asia,4.404,9.99974,0.24718,62,"0,66205","0,30533","0,17265",2016
59,Bolivia,Latin America and Caribbean,5.822,9.72997,0.70803,63,"0,83751","0,26470","0,15332",2016
82,Philippines,Southeast Asia,5.279,9.67256,0.74267,63,"0,90149","0,26441","0,23271",2016
79,Indonesia,Southeast Asia,5.314,9.96273,0.74054,64,"0,64483","0,68953","0,00638",2016
107,Nepal,South Asia,4.793,9.34497,0.58904,64,"0,60826","0,46553","0,13872",2016
49,Uzbekistan,Commonwealth of Independent States,5.987,9.92666,0.98719,64,"1,00000","0,41876","0,56081",2016
112,Iraq,Middle East and North Africa,4.575,9.95884,0.50035,65,"0,40849","0,23897","0,26990",2016
120,Egypt,Middle East and North Africa,4.362,9.98272,0.42098,65,"0,30973","0,15501","0,20572",2016
55,Moldova,Western Europe,5.897,9.96358,0.70257,65,"0,41419","0,24396","0,03767",2016
110,Bangladesh,South Asia,4.643,9.70737,0.20916,66,"0,65372","0,23340","0,24907",2016
77,Kosovo,Central and Eastern Europe,5.401,9.58862,0.55831,66,"0,23659","0,34149","0,12959",2016
39,Guatemala,Latin America and Caribbean,6.324,9.95073,0.73626,66,"0,82794","0,35145","0,17223",2016
85,Kyrgyzstan,Commonwealth of Independent States,5.185,9.60064,0.80653,67,"0,66086","0,46884","0,09426",2016
101,Mongolia,East Asia,4.907,9.90815,0.92104,67,"0,59117","0,42135","0,06502",2016
54,Kazakhstan,Commonwealth of Independent States,5.919,9.97172,0.80746,67,"0,66592","0,18313","0,22034",2016
89,Dominican Republic,Latin America and Caribbean,5.155,9.97101,0.84086,67,"0,85883","0,25967","0,24488",2016
70,Paraguay,Latin America and Caribbean,5.538,9.89537,0.93902,68,"0,75984","0,30859","0,14639",2016
104,Honduras,Latin America and Caribbean,4.871,9.30923,0.63888,68,"0,43970","0,24936","0,13670",2016
123,Ukraine,Western Europe,4.324,9.98844,0.85707,68,"0,21133","0,24841","0,03621",2016
56,Russia,Commonwealth of Independent States,5.856,9.9101,0.88958,68,"0,53710","0,03338","0,07097",2016
34,Saudi Arabia,Middle East and North Africa,6.379,9.85068,0.71691,68,"0,62293","0,18857","0,59396",2016
73,Jamaica,Latin America and Caribbean,5.51,9.99455,0.81446,68,"0,71649","0,27138","0,08499",2016
90,Morocco,Middle East and North Africa,5.151,9.90293,0.32618,68,"0,42148","0,04944","0,16635",2016
98,Tunisia,Middle East and North Africa,5.045,9.86052,0.3648,68,"0,38707","0,04802","0,16171",2016
46,El Salvador,Latin America and Caribbean,6.068,9.96561,0.68434,68,"0,61248","0,10830","0,21006",2016
31,Colombia,Latin America and Caribbean,6.481,9.95212,0.86346,68,"0,73519","0,19063","0,10686",2016
80,Jordan,Middle East and North Africa,5.303,9.72954,0.72863,69,"0,59201","0,17399","0,26320",2016
17,Brazil,Latin America and Caribbean,6.952,9.98032,0.8784,69,"0,66437","0,19246","0,28040",2016
44,Venezuela,Latin America and Caribbean,6.084,9.89269,0.87303,69,"0,32618","0,05185","0,16437",2016
117,Sri Lanka,South Asia,4.415,9.94924,0.71652,69,"0,83515","0,57311","0,15763",2016
47,Malaysia,Southeast Asia,6.005,9.8289,0.74392,69,"0,64144","0,50595","0,17975",2016
64,Peru,Latin America and Caribbean,5.743,9.99132,0.68671,70,"0,61631","0,17722","0,10475",2016
88,Montenegro,Western Europe,5.161,9.97972,0.62685,70,"0,24833","0,20972","0,25180",2016
68,Latvia,Western Europe,5.56,9.88524,0.80308,70,"0,46009","0,21282","0,17596",2016
126,Georgia,Western Europe,4.252,9.96148,0.16268,70,"0,53347","0,08278","0,63102",2016
121,Armenia,Commonwealth of Independent States,4.36,9.83195,0.52801,70,"0,23069","0,09507","0,07157",2016
105,Iran,Middle East and North Africa,4.813,9.94451,0.32839,70,"0,37049","0,47014","0,11024",2016
86,Serbia,Western Europe,5.177,9.78779,0.68733,70,"0,25832","0,25297","0,08589",2016
60,Lithuania,Western Europe,5.813,9.9342,0.8993,70,"0,31108","0,02470","0,03602",2016
33,Thailand,Southeast Asia,6.474,9.94463,0.88296,70,"0,81437","0,71606","0,05608",2016
48,Nicaragua,Latin America and Caribbean,5.992,9.99201,0.75656,70,"0,76555","0,36322","0,32247",2016
96,Vietnam,Southeast Asia,5.061,9.88867,0.66863,71,"0,91957","0,30590","0,22874",2016
66,Mauritius,Sub-Saharan Africa,5.648,9.91893,0.63972,71,"0,75836","0,45078","0,10299",2016
71,Romania,Western Europe,5.528,9.87727,0.61527,71,"0,60334","0,15724","0,01344",2016
91,Hungary,Western Europe,5.145,9.95659,0.78735,71,"0,32491","0,12077","0,08852",2016
129,Bulgaria,Central and Eastern Europe,4.217,9.97792,0.78209,71,"0,34872","0,15607","0,01218",2016
72,Estonia,Western Europe,5.517,9.99915,0.88875,72,"0,68221","0,10275","0,36656",2016
51,Ecuador,Latin America and Caribbean,5.976,9.99859,0.72659,72,"0,66181","0,12289","0,35702",2016
57,Poland,Western Europe,5.835,9.97051,0.88472,72,"0,74267","0,17620","0,10886",2016
26,Argentina,Latin America and Caribbean,6.65,9.92469,0.90101,72,"0,69490","0,13406","0,14442",2016
45,Slovakia,Western Europe,6.078,9.81447,0.91499,72,"0,38441","0,16881","0,05834",2016
74,Croatia,Central and Eastern Europe,5.488,9.69673,0.51391,73,"0,39290","0,22489","0,07922",2016
87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,9.77892,0.54398,73,"0,15631","0,36463","0,00000",2016
25,Panama,Latin America and Caribbean,6.701,9.96471,0.83593,73,"0,80409","0,29498","0,16672",2016
21,Mexico,Latin America and Caribbean,6.778,9.97271,0.60393,73,"0,61972","0,14317","0,36331",2016
29,Uruguay,Latin America and Caribbean,6.545,9.98467,0.87168,73,"0,89382","0,22027","0,42346",2016
28,United Arab Emirates,Middle East and North Africa,6.573,9.96966,0.73622,74,"0,92385","0,32439","0,70389",2016
109,Albania,Central and Eastern Europe,4.655,9.77705,0.42394,74,"0,52370","0,20543","0,10493",2016
83,China,East Asia,5.245,9.99912,0.67087,74,"0,72331","0,06049","0,05434",2016
14,Costa Rica,Latin America and Caribbean,7.087,9.9324,0.86331,75,"0,90759","0,27513","0,20876",2016
93,Lebanon,Middle East and North Africa,5.129,9.98855,0.54243,75,"0,43104","0,28904","0,06058",2016
13,United States,North America and ANZ,7.104,9.97785,0.88553,75,"0,79153","0,50111","0,29430",2016
63,Slovenia,Western Europe,5.768,9.92202,0.89256,76,"0,87371","0,31399","0,07195",2016
94,Portugal,Western Europe,5.123,9.966,0.79752,76,"0,73505","0,14262","0,03010",2016
1,Denmark,Western Europe,7.526,9.97766,0.98351,76,"0,95223","0,44126","0,87990",2016
4,Norway,Western Europe,7.498,9.70015,0.95237,76,"0,97963","0,46229","0,70814",2016
99,Greece,Western Europe,5.033,9.97503,0.63784,76,"0,09568","0,00000","0,08169",2016
30,Malta,Western Europe,6.488,9.98752,0.92861,76,"0,90379","0,68605","0,34747",2016
12,Austria,Western Europe,7.119,9.98799,0.91597,77,"0,89329","0,40093","0,42257",2016
23,United Kingdom,Western Europe,6.725,9.97265,0.91841,77,"0,82231","0,61188","0,54233",2016
5,Finland,Western Europe,7.413,9.83367,0.95891,77,"0,93846","0,31099","0,81162",2016
7,Netherlands,Western Europe,7.339,9.84579,0.86974,77,"0,90736","0,57844","0,59237",2016
19,Ireland,Western Europe,6.907,9.94988,0.98167,77,"0,88759","0,54852","0,58894",2016
16,Germany,Western Europe,6.994,9.97881,0.92772,77,"0,87868","0,37150","0,56513",2016
24,Chile,Latin America and Caribbean,6.705,9.98816,0.76557,77,"0,62104","0,38544","0,22665",2016
18,Belgium,Western Europe,6.929,9.98917,0.88948,77,"0,84396","0,29571","0,51954",2016
6,Canada,North America and ANZ,7.404,9.99918,0.92634,77,"0,94284","0,54695","0,62012",2016
8,New Zealand,North America and ANZ,7.334,9.82821,0.99115,78,"0,95561","0,60266","0,82945",2016
10,Sweden,Western Europe,7.291,9.89265,0.91919,78,"0,95678","0,46667","0,80891",2016
32,France,Western Europe,6.478,9.979,0.84942,78,"0,76521","0,14835","0,35249",2016
20,Luxembourg,Western Europe,6.871,9.15144,0.87892,78,"0,90176","0,33635","0,69930",2016
69,Cyprus,Western Europe,5.546,9.93412,0.59748,78,"0,48492","0,34044","0,10348",2016
11,Israel,Middle East and North Africa,7.267,9.95569,0.84121,78,"0,59874","0,39389","0,17276",2016
50,Italy,Western Europe,5.977,9.95971,0.88034,78,"0,30940","0,20353","0,05059",2016
9,Australia,North America and ANZ,7.313,9.97098,0.93365,78,"0,93407","0,57834","0,63995",2016
2,Switzerland,Western Europe,7.509,9.64149,0.96787,79,"0,96235","0,34259","0,81557",2016
3,Iceland,Western Europe,7.501,9.88557,1.0,79,"0,93058","0,58165","0,29641",2016
37,Spain,Western Europe,6.361,9.88808,0.95452,79,"0,61702","0,21550","0,12148",2016
58,South Korea,East Asia,5.835,9.98936,0.61012,80,"0,41362","0,22964","0,15272",2016
53,Japan,East Asia,5.921,9.87032,0.89629,81,"0,76848","0,12473","0,37579",2016
22,Singapore,East Asia,6.739,9.62602,0.73321,82,"0,80150","0,39900","0,93005",2016
3,Iceland,Western Europe,7.504,7.91458,1.0,71,"0,95277","0,56742","0,33066",2017
15,Ireland,Western Europe,6.977,8.20897,0.9675,71,"0,87066","0,51053","0,64265",2017
2,Denmark,Western Europe,7.522,7.92394,0.96309,70,"0,95102","0,42392","0,86316",2017
47,Uzbekistan,Commonwealth of Independent States,5.971,4.20385,0.96175,62,"1,00000","0,49636","0,53096",2017
8,New Zealand,North America and ANZ,7.314,7.51407,0.96127,71,"0,93287","0,59661","0,82449",2017
5,Finland,Western Europe,7.469,7.71648,0.95633,71,"0,93878","0,29291","0,82405",2017
1,Norway,Western Europe,7.537,8.64065,0.95216,70,"0,96532","0,43196","0,68051",2017
34,Spain,Western Europe,6.403,7.40017,0.95127,73,"0,62101","0,22687","0,15273",2017
4,Switzerland,Western Europe,7.494,8.36545,0.94185,72,"0,94200","0,34669","0,79044",2017
9,Australia,North America and ANZ,7.284,7.9348,0.93758,72,"0,91395","0,57000","0,64867",2017
70,Paraguay,Latin America and Caribbean,5.493,4.98479,0.93587,64,"0,71934","0,26746","0,19613",2017
40,Slovakia,Central and Eastern Europe,6.098,7.08477,0.93449,68,"0,44940","0,16293","0,05214",2017
19,United Kingdom,Western Europe,6.714,7.70612,0.92915,71,"0,77203","0,58798","0,57166",2017
100,Mongolia,East Asia,4.955,5.49099,0.92701,63,"0,59878","0,40386","0,07086",2017
27,Malta,Western Europe,6.527,7.18037,0.92415,71,"0,89444","0,68577","0,32967",2017
7,Canada,North America and ANZ,7.316,7.90695,0.91976,71,"0,92837","0,51969","0,61892",2017
10,Sweden,Western Europe,7.284,7.9881,0.91779,71,"0,93114","0,45986","0,82790",2017
66,Estonia,Western Europe,5.611,7.06063,0.91686,67,"0,72789","0,11800","0,39467",2017
52,Lithuania,Western Europe,5.902,7.02697,0.9149,65,"0,35584","0,01213","0,02556",2017
16,Germany,Western Europe,6.951,7.95355,0.91428,70,"0,85456","0,40124","0,59601",2017
49,Russia,Commonwealth of Independent States,5.963,6.85162,0.91227,63,"0,56784","0,06236","0,07099",2017
17,Belgium,Western Europe,6.891,7.8245,0.90795,71,"0,82001","0,27623","0,54133",2017
13,Austria,Western Europe,7.006,7.94914,0.90647,71,"0,86254","0,37762","0,47611",2017
18,Luxembourg,Western Europe,6.863,9.31139,0.90501,72,"0,90639","0,33789","0,68669",2017
62,Slovenia,Central and Eastern Europe,5.758,7.16929,0.90186,70,"0,86985","0,28953","0,09720",2017
46,Poland,Central and Eastern Europe,5.973,6.90513,0.89764,68,"0,79049","0,18908","0,12773",2017
48,Italy,Western Europe,5.964,7.4572,0.89715,72,"0,38960","0,20617","0,06037",2017
